"eventID","latitude","longitude","EP_PlotID","day_of_year","plant_height","total_biomass","panicle","biomass_dry","reproductive_allocation_ratio","n_capsules","n_umbel","n_inflorescences"
"Schorfheide_Chorin",53.0226,13.7838,"SEG14",160,145.5,24.88,21,NA,NA,NA,NA,NA
"Schorfheide_Chorin",53.0226,13.7838,"SEG14",158,159,40.92,22,NA,NA,NA,NA,NA
"Schorfheide_Chorin",53.0226,13.7838,"SEG14",160,112,8.83,15,NA,NA,NA,NA,NA
"Schorfheide_Chorin",53.0226,13.7838,"SEG14",160,160.5,20.7,15,NA,NA,NA,NA,NA
"Schorfheide_Chorin",53.0226,13.7838,"SEG14",158,152,37.02,35,NA,NA,NA,NA,NA
"Schorfheide_Chorin",53.0226,13.7838,"SEG15",155,157,29.5,21,NA,NA,NA,NA,NA
"Schorfheide_Chorin",53.0226,13.7838,"SEG15",155,172,28.29,13,NA,NA,NA,NA,NA
"Schorfheide_Chorin",53.0226,13.7838,"SEG15",160,130.5,5.32,6,NA,NA,NA,NA,NA
"Schorfheide_Chorin",53.0226,13.7838,"SEG15",155,164.5,41.88,31,NA,NA,NA,NA,NA
"Schorfheide_Chorin",53.0226,13.7838,"SEG15",160,144,10.75,11,NA,NA,NA,NA,NA
"Schorfheide_Chorin",53.0226,13.7838,"SEG15",158,162,12.79,7,NA,NA,NA,NA,NA
"Schorfheide_Chorin",53.0226,13.7838,"SEG15",160,159.5,68.57,58,NA,NA,NA,NA,NA
"Schorfheide_Chorin",53.0226,13.7838,"SEG15",158,130,33.05,27,NA,NA,NA,NA,NA
"Schorfheide_Chorin",53.0226,13.7838,"SEG15",160,156,10.69,11,NA,NA,NA,NA,NA
"Schorfheide_Chorin",53.0226,13.7838,"SEG15",155,138,17.76,8,NA,NA,NA,NA,NA
"Schorfheide_Chorin",53.0226,13.7838,"SEG15",155,143,32.41,38,NA,NA,NA,NA,NA
"Schorfheide_Chorin",53.0226,13.7838,"SEG16",160,147,13.61,14,NA,NA,NA,NA,NA
"Schorfheide_Chorin",53.0226,13.7838,"SEG16",155,158,41.04,20,NA,NA,NA,NA,NA
"Schorfheide_Chorin",53.0226,13.7838,"SEG16",155,152,5.05,3,NA,NA,NA,NA,NA
"Schorfheide_Chorin",53.0226,13.7838,"SEG16",160,150,3.69,1,NA,NA,NA,NA,NA
"Schorfheide_Chorin",53.0226,13.7838,"SEG16",160,140.5,3.74,3,NA,NA,NA,NA,NA
"Schorfheide_Chorin",53.0226,13.7838,"SEG16",160,165,11.91,8,NA,NA,NA,NA,NA
"Schorfheide_Chorin",53.0226,13.7838,"SEG16",158,134,26.22,28,NA,NA,NA,NA,NA
"Schorfheide_Chorin",53.0226,13.7838,"SEG16",158,123,9.52,11,NA,NA,NA,NA,NA
"Schorfheide_Chorin",53.0226,13.7838,"SEG16",NA,46,9.97,NA,NA,NA,NA,NA,NA
"Schorfheide_Chorin",53.0226,13.7838,"SEG16",155,160,29.18,23,NA,NA,NA,NA,NA
"Schorfheide_Chorin",53.0226,13.7838,"SEG18",158,148.5,16.36,19,NA,NA,NA,NA,NA
"Schorfheide_Chorin",53.0226,13.7838,"SEG18",160,176.5,32.11,21,NA,NA,NA,NA,NA
"Schorfheide_Chorin",53.0226,13.7838,"SEG18",155,147,9.65,7,NA,NA,NA,NA,NA
"Schorfheide_Chorin",53.0226,13.7838,"SEG18",158,154.5,29.1,25,NA,NA,NA,NA,NA
"Schorfheide_Chorin",53.0226,13.7838,"SEG18",158,156.5,6.27,4,NA,NA,NA,NA,NA
"Schorfheide_Chorin",53.0226,13.7838,"SEG18",158,148,17.95,16,NA,NA,NA,NA,NA
"Schorfheide_Chorin",53.0226,13.7838,"SEG18",155,166,58.09,33,NA,NA,NA,NA,NA
"Schorfheide_Chorin",53.0226,13.7838,"SEG18",155,123,2.34,4,NA,NA,NA,NA,NA
"Schorfheide_Chorin",53.0226,13.7838,"SEG18",155,144.5,32.11,37,NA,NA,NA,NA,NA
"Schorfheide_Chorin",53.0226,13.7838,"SEG22",160,180.5,57.8,28,NA,NA,NA,NA,NA
"Schorfheide_Chorin",53.0226,13.7838,"SEG22",155,157.5,28.61,26,NA,NA,NA,NA,NA
"Schorfheide_Chorin",53.0226,13.7838,"SEG22",160,178,49.52,32,NA,NA,NA,NA,NA
"Schorfheide_Chorin",53.0226,13.7838,"SEG22",155,141,20.54,24,NA,NA,NA,NA,NA
"Schorfheide_Chorin",53.0226,13.7838,"SEG22",155,167.5,26.17,16,NA,NA,NA,NA,NA
"Schorfheide_Chorin",53.0226,13.7838,"SEG22",155,177,24.69,24,NA,NA,NA,NA,NA
"Schorfheide_Chorin",53.0226,13.7838,"SEG22",160,153,32.34,25,NA,NA,NA,NA,NA
"Schorfheide_Chorin",53.0226,13.7838,"SEG22",160,147,14.7,14,NA,NA,NA,NA,NA
"Schorfheide_Chorin",53.0226,13.7838,"SEG28",158,160.5,13.16,12,NA,NA,NA,NA,NA
"Schorfheide_Chorin",53.0226,13.7838,"SEG28",158,158.5,33.96,24,NA,NA,NA,NA,NA
"Schorfheide_Chorin",53.0226,13.7838,"SEG28",160,149,9.08,8,NA,NA,NA,NA,NA
"Schorfheide_Chorin",53.0226,13.7838,"SEG28",160,116.5,8.73,14,NA,NA,NA,NA,NA
"Schorfheide_Chorin",53.0226,13.7838,"SEG28",158,137,42.4,35,NA,NA,NA,NA,NA
"Schorfheide_Chorin",53.0226,13.7838,"SEG28",165,103.5,1.6,3,NA,NA,NA,NA,NA
"Schorfheide_Chorin",53.0226,13.7838,"SEG28",158,175.5,27.88,26,NA,NA,NA,NA,NA
"Schorfheide_Chorin",53.0226,13.7838,"SEG28",155,148.5,32.24,25,NA,NA,NA,NA,NA
"Schorfheide_Chorin",53.0226,13.7838,"SEG28",158,84.5,6.24,12,NA,NA,NA,NA,NA
"Schorfheide_Chorin",53.0226,13.7838,"SEG28",151,155,20.05,20,NA,NA,NA,NA,NA
"Schorfheide_Chorin",53.0226,13.7838,"SEG30",158,151.5,63.59,34,NA,NA,NA,NA,NA
"Schorfheide_Chorin",53.0226,13.7838,"SEG30",NA,35.5,0.26,NA,NA,NA,NA,NA,NA
"Schorfheide_Chorin",53.0226,13.7838,"SEG30",160,155.5,18.52,15,NA,NA,NA,NA,NA
"Schorfheide_Chorin",53.0226,13.7838,"SEG30",155,169,41.59,29,NA,NA,NA,NA,NA
"Schorfheide_Chorin",53.0226,13.7838,"SEG30",160,130,3.75,5,NA,NA,NA,NA,NA
"Schorfheide_Chorin",53.0226,13.7838,"SEG30",158,130,8.16,5,NA,NA,NA,NA,NA
"Schorfheide_Chorin",53.0226,13.7838,"SEG30",155,152,46.51,43,NA,NA,NA,NA,NA
